,detail_url,search_date,title,address,floor_info,price,layout,building_area,building_use,latitude,longitude
11,https://rent.591.com.tw/rent-detail-1944741.html,2017-05-14,政大靜巷優質(女)套房，可住雙人,台北市文山區指南路二段,5F/5F,"10,000元/月",,6.0,公寓/獨立套房,24.9886979,121.574008
15,https://rent.591.com.tw/rent-detail-2037235.html,2017-05-14,台北市北投新民路捷運溫泉78坪雙拼美廈,台北市北投區新民路,2F/9F,"25,000元/月",4房3廳3衛3陽臺,78.0,電梯大樓/整層住家,25.1409925,121.5081385
20,https://rent.591.com.tw/rent-detail-1954040.html,2017-05-13,小巨捷運敦化學區樓中樓可三代同堂兼辦公,台北市松山區北寧路,5F/7F,"70,000元/月",7房2廳2衛1陽臺,66.35,電梯大樓/整層住家,25.0518682,121.55383020000001
39,https://rent.591.com.tw/rent-detail-2375928.html,2017-05-10,環境單純，生活機能佳，近市中心交通便利,台北市松山區吉祥路,2F/4F,"8,000元/月",,6.0,透天厝/分租套房,25.049546,121.562708
65,https://rent.591.com.tw/rent-detail-2061829.html,2017-05-08,房間分租/獨立衛浴/環境舒適~近天母三越,台北市士林區天母東路,3F/5F,"14,000元/月",,26.0,公寓/辦公,25.118543,121.53428000000001
71,https://rent.591.com.tw/rent-detail-2561786.html,2017-05-14,天母優質套房,台北市士林區中山北路七段,4F/5F,"7,900元/月",,4.0,公寓/分租套房,25.119011999999998,121.533468
72,https://rent.591.com.tw/rent-detail-2717102.html,2017-05-14,仁愛米蘭：近仁愛國小捷運216巷國泰醫院,台北市大安區仁愛路四段,7F/9F,"40,000元/月",,20.0,電梯大樓/獨立套房,25.0376233,121.55334040000001
78,https://rent.591.com.tw/rent-detail-2222456.html,2017-05-08,"內科優質辦公室分租,管理優.視野讚",台北市內湖區瑞光路,7F/9F,"35,000元/月",,22.0,電梯大樓/辦公,25.073945000000002,121.578429
79,https://rent.591.com.tw/rent-detail-2716631.html,2017-05-10,科技新貴套房(近昆陽捷運站,台北市南港區南港路二段,3F/5F,"8,800元/月",,8.0,公寓/獨立套房,25.0546398,121.59355159999998
84,https://rent.591.com.tw/rent-detail-2631000.html,2017-05-12,***通化街市場店面攤位出租*****,台北市大安區通化街,1F/3F,"18,000元/月",,5.0,透天厝/店面,25.0305949,121.554524
98,https://rent.591.com.tw/rent-detail-2797338.html,2017-05-14,內湖文德路2樓套房-女房客安全首選~,台北市內湖區文德路,2F/5F,"10,500元/月",,5.0,公寓/分租套房,25.078677,121.580523
100,https://rent.591.com.tw/rent-detail-2730039.html,2017-05-14,民權西路捷運站兩分鐘步行距離生活機能佳,台北市中山區天祥路,2F/5F,"9,500元/月",,7.0,電梯大樓/分租套房,25.0617924,121.52087399999999
101,https://rent.591.com.tw/rent-detail-2717581.html,2017-05-11,北醫吳興商圈舒適雅房,台北市信義區吳興街,頂樓加蓋/5F,"7,500元/月",,8.0,公寓/雅房,25.0231323,121.5622635
121,https://rent.591.com.tw/rent-detail-2571360.html,2017-05-15,出租車位近市政府永春捷運站24小時,台北市信義區忠孝東路五段,,"4,000元/月",,3.0,,25.0407581,121.57203670000001
123,https://rent.591.com.tw/rent-detail-2743208.html,2017-05-13,徵短租雅房限單身.無不良嗜好可短租,台北市文山區景華街,1F/4F,"5,200元/月",,4.0,公寓/雅房,24.9965,121.54710700000001
124,https://rent.591.com.tw/rent-detail-2802447.html,2017-05-12,敦南遠企商圈正面林蔭藝廊四季景觀管理大樓,台北市大安區敦化南路二段,6F/12F,"58,000元/月",2房2廳2衛2陽臺,38.0,電梯大樓/整層住家,25.028859,121.548525
125,https://rent.591.com.tw/rent-detail-2942624.html,2017-05-11,大安森林公園正職單身女士雙衛豪華雅房7間,台北市大安區信義路三段,3F/6F,"6,500元/月",,4.0,電梯大樓/雅房,25.029265600000002,121.5388557
130,https://rent.591.com.tw/rent-detail-2977748.html,2017-05-13,搶租~榮星花園.濱江市場旁,台北市中山區龍江路,3F/5F,"9,500元/月",,4.0,公寓/獨立套房,25.0671744,121.54213429999999
136,https://rent.591.com.tw/rent-detail-3103865.html,2017-05-14,近公園.市場.交通方便,台北市萬華區青年路,4F/5F,"9,000元/月",2房1廳1衛1陽臺,10.0,公寓/整層住家,25.0253997,121.5053158
140,https://rent.591.com.tw/rent-detail-2885059.html,2017-05-08,溫馨舒適，優質小套房(樓中樓),台北市大安區安和路二段,6F/10F,"18,000元/月",,12.0,電梯大樓/獨立套房,25.030071300000003,121.55219270000002
150,https://rent.591.com.tw/rent-detail-2410511.html,2017-05-12,天母陽光山水-首席天下出租(含平面車位),台北市北投區天母西路,7F/11F,"40,000元/月",3房2廳2衛2陽臺,55.0,電梯大樓/整層住家,25.1194404,121.52303140000001
151,https://rent.591.com.tw/rent-detail-2988162.html,2017-05-10,全新裝潢小毫宅！近捷運麟光站,台北市大安區臥龍街,2F/13F,"26,000元/月",1房1廳1衛1陽臺,13.0,電梯大樓/整層住家,25.016257999999997,121.560077
154,https://rent.591.com.tw/rent-detail-3036277.html,2017-05-12,"套房出租飯店住房品質,平價收費,絕對物超",台北市中正區忠孝西路一段,4F/13F,"19,000元/月",,6.0,電梯大樓/獨立套房,25.0463949,121.5178442
155,https://rent.591.com.tw/rent-detail-2831471.html,2017-05-15,鬧中取靜交通方便俗擱大碗辦公室分租,台北市中正區羅斯福路一段,2F/12F,"14,000元/月",,24.0,電梯大樓/辦公,25.0309901,121.5181821
156,https://rent.591.com.tw/rent-detail-2970741.html,2017-05-12,松機知名辦雙捷公車金融機能全現成實用超值,台北市松山區民權東路三段,2F/12F,"209,593元/月",,123.29,電梯大樓/辦公,25.062513199999998,121.55079170000002
168,https://rent.591.com.tw/rent-detail-3340684.html,2017-05-12,距公車站牌2分鐘，交通方便！,台北市萬華區和平西路三段,1F/7F,"7,800元/月",,6.5,電梯大樓/分租套房,25.0338141,121.5037669
169,https://rent.591.com.tw/rent-detail-2678086.html,2017-05-12,安和路2段室內平面大車位24小時警衛駐守,台北市大安區安和路二段,,"7,500元/月",,10.0,,25.030413,121.552071
186,https://rent.591.com.tw/rent-detail-3212749.html,2017-05-09,捷運芝山站步行6分鐘，明亮通風乾淨舒適。,台北市士林區文昌路,3F/3F,"15,000元/月",,10.0,透天厝/獨立套房,25.100091,121.520178
188,https://rent.591.com.tw/rent-detail-3113532.html,2017-05-13,★新裝潢電梯套房★物超所值★,台北市信義區基隆路二段,6F/12F,"22,000元/月",,13.34,電梯大樓/獨立套房,25.0255146,121.5540969
194,https://rent.591.com.tw/rent-detail-3289321.html,2017-05-08,京站旁24坪三房(四床)(5/7日更新),台北市大同區長安西路,4F/5F,"23,000元/月",3房2廳1衛0陽臺,24.0,公寓/整層住家,25.050252399999998,121.5179887
216,https://rent.591.com.tw/rent-detail-3428408.html,2017-05-10,迪化街漂亮雅緻幽靜百萬河景正兩房兩廳一衛,台北市大同區迪化街二段,5F/6F,"25,000元/月",2房2廳1衛1陽臺,22.0,公寓/整層住家,25.06796,121.50958600000001
218,https://rent.591.com.tw/rent-detail-3353964.html,2017-05-08,文山公館街雅房,台北市文山區公館街,5F/5F,"3,000元/月",,2.0,公寓/雅房,25.005305,121.537641
221,https://rent.591.com.tw/rent-detail-3330014.html,2017-05-12,台北市極上之湯,台北市北投區光明路,10F/14F,"15,000元/月",,11.4,電梯大樓/獨立套房,25.1359005,121.5036774
223,https://rent.591.com.tw/rent-detail-3310680.html,2017-05-14,景觀精品小豪宅,台北市中山區德惠街,9F/9F,"16,900元/月",,10.0,電梯大樓/獨立套房,25.0667273,121.52621270000002
